asset_id,original_inventory_sector,min_start,max_end,inflated_extrap_emissions,baseline_emissions,inflated_over_baseline_pct
2856101,international-shipping,2023-01-01 00:00:00,2026-02-28 23:59:59,8.607336343225272,4.303668171612636,200
2858672,international-shipping,2025-02-01 00:00:00,2026-02-28 23:59:59,1850.0700492531062,6606.720544978053,28.00285007755314
2894566,international-shipping,2021-10-01 00:00:00,2026-02-28 23:59:59,110.9228530707594,133.41150169805937,83.1433959283384
2911631,international-shipping,2022-03-01 00:00:00,2026-02-28 23:59:59,114.43326110103041,1651.7843655933536,6.9278571395076565
2941086,international-shipping,2022-02-01 00:00:00,2026-02-28 23:59:59,11.438698076712882,32.127372466996846,35.60421285140387
3056044,international-shipping,2022-09-01 00:00:00,2026-02-28 23:59:59,346.028117483627,2683.119499983097,12.896485508223055
3065402,international-shipping,2025-01-01 00:00:00,2026-02-28 23:59:59,10.091002740513042,10.091002740513042,100
3073458,international-shipping,2023-05-01 00:00:00,2026-02-28 23:59:59,15.926367714520879,60.67639119080323,26.248047060740245
3114947,international-shipping,2024-09-01 00:00:00,2026-02-28 23:59:59,10.047041601767658,11.172764055829562,89.9244050224569
3151523,international-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,31.713301689436772,235.44788741835256,13.469350707355211
32440616,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,30382.102694082012,367893.7541062105,8.2583904605542
32441205,iron-and-steel,2021-01-01 00:00:00,2023-09-30 00:00:00,1281543.8965322454,13798937.82524618,9.287264808075053
32441223,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,100523.38704897213,244324.3330862484,41.14342021491842
32441224,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,2338569.5856142924,5988910.399912508,39.04833149029006
32441229,iron-and-steel,2021-01-01 00:00:00,2025-07-31 00:00:00,321194.93924090744,22739678.645285152,1.412486712108854
34016839,international-shipping,2023-01-01 00:00:00,2026-02-28 23:59:59,2.7849984098999996,120.47681030637057,2.311646866162703
34017253,international-shipping,2024-02-01 00:00:00,2026-02-28 23:59:59,4.6868850894,472.97274909939586,0.9909418879469194
34017667,international-shipping,2024-04-01 00:00:00,2026-02-28 23:59:59,11.537832804899997,657.1097082417,1.7558457378103625
34017896,international-shipping,2023-06-01 00:00:00,2026-02-28 23:59:59,0.1324101119,600.8785746388997,0.022036084741342683
38089228,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,2691072.4063160038,6957955.505342557,38.676194526534495
38887369,international-shipping,2023-07-01 00:00:00,2026-02-28 23:59:59,7236.111719259619,13471.713116166786,53.71337451193118
38890491,international-shipping,2021-09-01 00:00:00,2026-02-28 23:59:59,18.369976728771857,5867.038903339291,0.3131047370133574
38891187,international-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,134.75577810204408,1839.6547484663392,7.3250580422432865
38892981,international-shipping,2025-01-01 00:00:00,2026-02-28 23:59:59,2.320656969460492,2.1872378213960073,106.09989214521399
38893014,international-shipping,2023-09-01 00:00:00,2026-02-28 23:59:59,25576.221817967667,211101.0676993749,12.115628829689431
38893169,international-shipping,2025-06-01 00:00:00,2026-02-28 23:59:59,2513.6288817092777,4399.556667097472,57.1336857758352
38893404,international-shipping,2023-08-01 00:00:00,2026-02-28 23:59:59,0.5528074639394731,311.53715776437105,0.17744511374068103
38893507,international-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,569.8395132168895,38418.33655118382,1.4832487930801117
38893528,international-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,2.9423433330844806,78.22788468002604,3.7612461913286923
38893660,international-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,166.07068758833918,2501.8692908617845,6.637864263929435
38893759,international-shipping,2023-02-01 00:00:00,2026-02-28 23:59:59,12161.599471454138,140526.91275970836,8.654284956967397
38893770,international-shipping,2024-01-01 00:00:00,2026-02-28 23:59:59,70.47924926259799,192.21621310155638,36.66665164470838
38893791,international-shipping,2024-02-01 00:00:00,2026-02-28 23:59:59,21293.50083648861,59845.73332263141,35.58064987138558
38894071,international-shipping,2023-08-01 00:00:00,2026-02-28 23:59:59,22.70044225040993,49.66274264315288,45.70919977884004
38894156,international-shipping,2022-11-01 00:00:00,2026-02-28 23:59:59,68.76708164385558,240.7402236682773,28.564849112465584
38894750,international-shipping,2023-12-01 00:00:00,2026-02-28 23:59:59,553.2277221007273,1348.8231866988563,41.015585108283226
38894811,international-shipping,2023-01-01 00:00:00,2026-02-28 23:59:59,26.335137805789408,98.61883156055043,26.703964536043042
38895006,international-shipping,2024-06-01 00:00:00,2026-02-28 23:59:59,8.266086171600001,42.1377337085,19.616826639949483
38895215,international-shipping,2022-10-01 00:00:00,2026-02-28 23:59:59,58.61264974701917,2005.2114904901248,2.9230158526915653
38895268,international-shipping,2024-08-01 00:00:00,2026-02-28 23:59:59,28836.02275030453,189435.42815994285,15.222085451702252
38895362,international-shipping,2023-11-01 00:00:00,2026-02-28 23:59:59,115.45071555906905,545.8405482033035,21.150996557344133
38897028,domestic-shipping,2023-12-01 00:00:00,2026-02-28 23:59:59,617.2476119160418,1494.7932130949382,41.29317731099698
38904343,domestic-shipping,2022-03-01 00:00:00,2026-02-28 23:59:59,66.7117122900745,3256.6852263467513,2.048454414641406
38904405,domestic-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,7.9131241891722786,29297.07179384055,0.027009949133673977
38904418,domestic-shipping,2021-04-01 00:00:00,2026-02-28 23:59:59,49.13778045824146,1257.381020944773,3.9079467273428574
38904491,domestic-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,106.48415036374641,254.36441145335792,41.86283362335541
38904539,domestic-shipping,2023-03-01 00:00:00,2026-02-28 23:59:59,5386.799447849577,20560.94853154589,26.199177725603526
38904548,domestic-shipping,2024-01-01 00:00:00,2026-02-28 23:59:59,47.98597928944509,78.40448082943038,61.20310826856822
38904568,domestic-shipping,2024-11-01 00:00:00,2026-02-28 23:59:59,112.01083220434374,225.70192786413241,49.62776936126651
38904851,domestic-shipping,2022-11-01 00:00:00,2026-02-28 23:59:59,12759.645687386394,9714.04401256924,131.3525620315944
38905037,domestic-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,2.7703189769941408,19.310106751825383,14.346471578839212
38905114,domestic-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,6.697401741220494,846.883257393972,0.7908293950490567
42741251,iron-and-steel,2024-07-01 00:00:00,2026-02-28 00:00:00,4117001.733157113,7164062.098127556,57.46742109107567
42741747,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,30701.029517687213,414000.9444087256,7.415690696438941
42741765,iron-and-steel,2021-01-01 00:00:00,2025-07-31 00:00:00,50250.17692307692,2989719.0066933124,1.6807658783510426
42741776,iron-and-steel,2024-07-01 00:00:00,2026-02-28 00:00:00,4527015.223413236,8931901.475365758,50.683667256057106
42741789,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,132377.31645236484,1026717.1376951393,12.89326062575877
42741813,iron-and-steel,2024-07-01 00:00:00,2026-02-28 00:00:00,686909.0510695758,1136787.4605010967,60.42545989791142
42741847,iron-and-steel,2024-07-01 00:00:00,2026-02-28 00:00:00,1194129.4368637332,2354100.288881495,50.72551252398429
45120470,domestic-shipping,2021-09-01 00:00:00,2026-02-28 23:59:59,41.893366428003695,27408.672004634,0.1528471223301908
45120496,domestic-shipping,2022-10-01 00:00:00,2026-02-28 23:59:59,4184.0304907365435,29115.574704825394,14.370420412972697
45120502,domestic-shipping,2022-11-01 00:00:00,2026-02-28 23:59:59,66.82430567450864,198.76500962175635,33.61975319583322
45120542,domestic-shipping,2022-06-01 00:00:00,2026-02-28 23:59:59,0.0781947252228974,5.477780662182082,1.4274891611258569
45120548,domestic-shipping,2022-02-01 00:00:00,2026-02-28 23:59:59,372.86633946603763,8347.63896015354,4.466728152066359
45120565,domestic-shipping,2023-11-01 00:00:00,2026-02-28 23:59:59,17771.297698336166,22989.42557457492,77.30205193987219
45120576,domestic-shipping,2023-06-01 00:00:00,2026-02-28 23:59:59,2727.736445834433,6400.0401717109735,42.62061444381849
45120579,domestic-shipping,2023-05-01 00:00:00,2026-02-28 23:59:59,16.162308731880714,790.7939598078472,2.0438078125695283
45120585,domestic-shipping,2023-05-01 00:00:00,2026-02-28 23:59:59,1.2289933431118698,3.449585220062347,35.62727878019078
45120587,domestic-shipping,2023-05-01 00:00:00,2026-02-28 23:59:59,20.82870375881318,370.5020864518589,5.621750732440087
45120598,domestic-shipping,2023-10-01 00:00:00,2026-02-28 23:59:59,1154.4061469235287,13086.657931332458,8.821244912038358
45120603,domestic-shipping,2023-12-01 00:00:00,2026-02-28 23:59:59,26.02626134635647,56.12777264594631,46.36966713525225
45120616,domestic-shipping,2024-08-01 00:00:00,2026-02-28 23:59:59,2.6626618830510527,13.23351054187785,20.120601216321077
45120617,domestic-shipping,2024-11-01 00:00:00,2026-02-28 23:59:59,73.4008566620294,538.2252258051227,13.637572737738223
45120622,domestic-shipping,2024-05-01 00:00:00,2026-02-28 23:59:59,15836.846263188609,42740.65747680092,37.0533520027965
45120630,domestic-shipping,2024-08-01 00:00:00,2026-02-28 23:59:59,1641.8603545422786,31592.311175520077,5.19702514140373
45120635,domestic-shipping,2024-11-01 00:00:00,2026-02-28 23:59:59,82.29890836615624,122.36957288410528,67.25438883741184
45129066,international-shipping,2021-03-01 00:00:00,2026-02-28 23:59:59,2146.214440789353,107542.82730925112,1.99568348209563
45129089,international-shipping,2021-08-01 00:00:00,2026-02-28 23:59:59,0.8227768949833262,732.2565388993767,0.1123618364979037
45129103,international-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,0.5690875634722943,4.3189836999146625,13.176423043308516
45129155,international-shipping,2021-04-01 00:00:00,2026-02-28 23:59:59,16.340634338289945,5673.880569769591,0.2879975025444273
45129177,international-shipping,2021-11-01 00:00:00,2026-02-28 23:59:59,618.9270292857753,20520.472760487115,3.016144104036145
45129184,international-shipping,2022-10-01 00:00:00,2026-02-28 23:59:59,369.90050883774717,3225.579935394922,11.46772103765764
45129196,international-shipping,2022-12-01 00:00:00,2026-02-28 23:59:59,2.2527751928959066,15.058169668135033,14.96048485668919
45129204,international-shipping,2022-06-01 00:00:00,2026-02-28 23:59:59,1403.9489367348142,5334.4609580873475,26.318478057400483
45129206,international-shipping,2022-11-01 00:00:00,2026-02-28 23:59:59,147.0626208907924,152.18620990724298,96.63334212766493
45129224,international-shipping,2022-10-01 00:00:00,2026-02-28 23:59:59,1.8312959158036375,26.423050974789405,6.930675483126086
45129234,international-shipping,2022-11-01 00:00:00,2026-02-28 23:59:59,47.08580498506777,45.99330351071181,102.37534899858089
45129242,international-shipping,2022-09-01 00:00:00,2026-02-28 23:59:59,156.53830085932273,4763.006723498573,3.2865437725928848
45129282,international-shipping,2023-10-01 00:00:00,2026-02-28 23:59:59,709.7873727975821,2604.12597084033,27.25626105439667
45129289,international-shipping,2023-02-01 00:00:00,2026-02-28 23:59:59,98.18637207869904,1178.3255454985542,8.332703339394717
45129290,international-shipping,2023-05-01 00:00:00,2026-02-28 23:59:59,105.68198630262631,364.6477938644518,28.981934919345985
45129291,international-shipping,2023-11-01 00:00:00,2026-02-28 23:59:59,44792.40266977883,116533.72624396363,38.43728688122941
45129305,international-shipping,2023-11-01 00:00:00,2026-02-28 23:59:59,10628.741255513092,35320.22367555866,30.09250834067652
45129312,international-shipping,2023-05-01 00:00:00,2026-02-28 23:59:59,47.52674177001678,1469.5686165913146,3.2340607463607745
45129322,international-shipping,2023-07-01 00:00:00,2026-02-28 23:59:59,91.96953034212343,59.42300008976137,154.77093078975972
45129349,international-shipping,2023-10-01 00:00:00,2026-02-28 23:59:59,1946.6051935279017,10138.322704101727,19.20046589896326
45129354,international-shipping,2023-05-01 00:00:00,2026-02-28 23:59:59,104.44570831081364,149.15889421107784,70.02311787254897
45129358,international-shipping,2023-06-01 00:00:00,2026-02-28 23:59:59,172.5564494794933,1623.8350261056794,10.626476625111504
45129370,international-shipping,2024-09-01 00:00:00,2026-02-28 23:59:59,3.7646111047178943,145.61267143032364,2.5853595485467613
45129372,international-shipping,2024-09-01 00:00:00,2026-02-28 23:59:59,15.77954046230295,18.38089890942353,85.84749059368956
45129373,international-shipping,2024-09-01 00:00:00,2026-02-28 23:59:59,45.631397766599996,551.0073065947,8.281450576147208
45129374,international-shipping,2024-08-01 00:00:00,2026-02-28 23:59:59,28512.9698592782,86479.00178070395,32.97097477094179
45129389,international-shipping,2024-06-01 00:00:00,2026-02-28 23:59:59,1789.8843154634349,7791.18647065507,22.973193135665568
45129400,international-shipping,2024-11-01 00:00:00,2026-02-28 23:59:59,1.6980389821479205,9.660637145401177,17.5768839734991
45129422,international-shipping,2024-08-01 00:00:00,2026-02-28 23:59:59,37.75960685562165,56.40350243076529,66.94550024082488
45129461,international-shipping,2025-06-01 00:00:00,2026-02-28 23:59:59,1.7327975331971175,6.578516920638125,26.340245895864225
48306352,iron-and-steel,2025-07-01 00:00:00,2026-02-28 00:00:00,131786.2848825792,187192.80195709874,70.40136346310061
48306423,iron-and-steel,2025-07-01 00:00:00,2026-02-28 00:00:00,14125.800990070988,20065.038670834263,70.40006860591645
48306440,iron-and-steel,2025-07-01 00:00:00,2026-02-28 00:00:00,57988.61145720076,83482.28118906384,69.46217883753427
48306442,iron-and-steel,2025-07-01 00:00:00,2026-02-28 00:00:00,208438.26028324987,282831.8957111497,73.69687204448947
49674006,international-shipping,2025-11-01 00:00:00,2026-02-28 23:59:59,387.10971466908506,155.05534102909004,249.65906501502528
49682827,domestic-shipping,2025-11-01 00:00:00,2026-02-28 23:59:59,189.77394404769288,26.308835609291187,721.3315969813299
50970853,domestic-shipping,2025-12-01 00:00:00,2026-02-28 23:59:59,4754.90908926446,479.042954638497,992.5851206501272
50980671,iron-and-steel,2025-10-01 00:00:00,2026-02-28 00:00:00,67770.25352426493,39700.130128223434,170.7053687365272
50980773,iron-and-steel,2025-07-01 00:00:00,2026-02-28 00:00:00,2481407.860514879,3367046.377513686,73.69687204448947
52203405,iron-and-steel,2021-01-01 00:00:00,2023-06-30 00:00:00,1584756.0801217323,9174835.573627908,17.27285538148439
52203406,iron-and-steel,2021-01-01 00:00:00,2023-06-30 00:00:00,1981366.1205221978,9243343.279201236,21.435600309041185
52203412,iron-and-steel,2021-01-01 00:00:00,2022-10-31 00:00:00,79039.96671020942,291863.09680973494,27.081178667043147
52937411,international-shipping,2026-01-01 00:00:00,2026-02-28 23:59:59,250.5661926106,250.5661926106,100
52938120,international-shipping,2026-01-01 00:00:00,2026-02-28 23:59:59,34.592940256638364,34.592940256638364,100
52941531,international-shipping,2026-01-01 00:00:00,2026-02-28 23:59:59,2.3698879870913356,2.3698879870913356,100
52944063,international-shipping,2026-01-01 00:00:00,2026-02-28 23:59:59,47.20502570507815,47.20502570507815,100
52948817,international-shipping,2026-02-01 00:00:00,2026-02-28 23:59:59,711.5337873647919,54.73336825883015,1300
52952482,international-shipping,2026-02-01 00:00:00,2026-02-28 23:59:59,352.85329159144885,27.142560891649918,1299.9999999999998
52953023,international-shipping,2026-02-01 00:00:00,2026-02-28 23:59:59,1052.9375692835074,80.99519763719287,1300.0000000000002
52955804,domestic-shipping,2026-01-01 00:00:00,2026-02-28 23:59:59,7.201047707466924,7.201047707466924,100
52957569,domestic-shipping,2026-01-01 00:00:00,2026-02-28 23:59:59,1.7653961624684529,1.7653961624684529,100
52959064,domestic-shipping,2026-01-01 00:00:00,2026-02-28 23:59:59,698.971738122829,127.19571690314376,549.5245871015278
52959325,domestic-shipping,2026-01-01 00:00:00,2026-02-28 23:59:59,58.24978148816589,58.24978148816589,100
52961820,domestic-shipping,2026-01-01 00:00:00,2026-02-28 23:59:59,0.10967100951609153,0.10967100951609153,100
52968746,domestic-shipping,2026-02-01 00:00:00,2026-02-28 23:59:59,36.143964005481784,2.7803049234985995,1299.9999999999998
52970656,domestic-shipping,2026-02-01 00:00:00,2026-02-28 23:59:59,142.51591997513356,10.962763075010272,1300
52971206,domestic-shipping,2026-02-01 00:00:00,2026-02-28 23:59:59,92.16945862095284,7.089958355457913,1299.9999999999998